"api","cum_gor_180","cum_gor_30","cum_gor_365","cum_gor_545","cum_gor_730","cum_gor_90","cum_oil_180","cum_oil_30","cum_oil_365","cum_oil_545","cum_oil_730","cum_oil_90","cum_water_180","cum_water_30","cum_water_365","cum_water_545","cum_water_730","cum_water_90","cum_wc_180","cum_wc_30","cum_wc_365","cum_wc_545","cum_wc_730","cum_wc_90"
"33105017200000","1126.626","1166.488","1331.59","1456.35","1504.923","1032.854","52596","11208","80117","97813","113958","26785","36586","13275","52228","60006","67007","24711","41.024","54.221","39.464","38.022","37.028","47.986"
"33061015960000","518.736","466.823","607.828","663.707","657.967","494.147","44888","9781","73710","90665","103069","24689","50626","17477","74108","89720","101746","32997","53.004","64.117","50.135","49.738","49.677","57.201"
"33009023310000","344.868","390.914","325.333","","","394.386","14652","1893","20748","","","8479","12444","1662","19040","","","6618","45.926","46.751","47.854","","","43.837"
"33061026100000","521.324","8.944","","","","386.88","93792","16771","","","","55154","44122","7978","","","","26268","31.992","32.236","","","","32.262"
"33061025070000","689.923","399.958","877.094","","","595.369","50652","14204","72991","","","32175","24994","8928","37698","","","15746","33.041","38.596","34.058","","","32.858"
"33105018560000","1586.118","1644.388","1665.442","1763.555","1786.997","1633.727","53032","20438","74860","91717","103806","37341","33501","11395","54721","76527","93713","24179","38.715","35.796","42.229","45.486","47.445","39.303"
"33061020410000","941.236","1084.315","927.977","918.303","945.491","1012.918","32707","8065","47846","58252","66851","19353","20152","8126","29796","38123","45045","13764","38.124","50.188","38.376","39.557","40.256","41.562"
"33105033860000","","471.541","","","","","","8029","","","","","","42772","","","","","","84.195","","","",""
"33061010120000","325.771","267.573","347.537","368.592","372.916","281.072","34248","10371","49986","60080","68506","19817","4632","2386","5808","6483","7377","3314","11.914","18.703","10.41","9.74","9.722","14.327"
"33025008780000","472.065","467.335","457.359","466.471","498.397","472.83","19957","3888","30499","37550","50211","11465","2745","729","3859","4510","6836","1827","12.091","15.789","11.232","10.723","11.983","13.745"
"33025011680000","454.894","462.544","544.026","517.026","504.131","454.879","55514","18742","86608","107426","124561","36469","70153","25514","110563","137101","160333","46015","55.825","57.651","56.075","56.068","56.278","55.787"
"33025019760000","837.956","483.204","967.963","","","807.989","46580","13545","65549","","","30243","35851","13921","57438","","","22409","43.492","50.684","46.702","","","42.561"
"33061029760000","723.965","624.606","","","","693.921","80718","25994","","","","49974","55344","29928","","","","44775","40.676","53.517","","","","47.256"
"33053030670000","1228.774","1059.276","1218.265","1220.297","1248.013","1058.671","55793","16887","101070","133470","158754","36679","5627","2440","19620","23847","29091","4118","9.162","12.625","16.257","15.159","15.487","10.094"
"33105021690000","1906.865","1395.089","1947.797","2058.477","2156.829","1937.601","65464","23215","89477","108402","124658","47869","48723","20230","67890","87870","105016","38046","42.669","46.565","43.141","44.77","45.724","44.283"
"33025024580000","1045.329","958.593","","","","983.376","44431","11399","","","","24422","24881","5779","","","","12919","35.897","33.642","","","","34.597"
"33053055620000","","1018.675","","","","","","18420","","","","","","12831","","","","","","41.058","","","",""
"33053039730000","1266.032","1102.273","1255.927","1372.429","1464.719","1122.188","140840","34359","210447","256489","288611","88208","30329","9309","43424","52287","60688","20222","17.719","21.318","17.105","16.934","17.374","18.65"
"33053045720000","1445.986","237.946","1742.704","","","1156.577","248039","40236","399179","","","132408","27063","5683","46950","","","16189","9.837","12.376","10.524","","","10.895"
"33061011050000","1083.654","891.078","1149.106","1141.605","1117.82","908.669","52502","10356","96287","119565","143066","21756","28114","5913","36629","40467","45309","8244","34.874","36.345","27.558","25.287","24.053","27.48"
"33105030640000","2478.655","2329.951","2535.389","","","2408.028","55119","15375","79658","","","36125","57926","22983","80277","","","40357","51.242","59.917","50.194","","","52.767"
"33061008000000","572.66","542.0","562.749","586.107","602.262","550.805","29225","7500","43634","54589","64115","18827","8539","3309","11637","13676","15250","5578","22.611","30.613","21.054","20.034","19.215","22.856"
"33105018490000","892.951","956.12","870.125","833.248","821.374","940.464","41906","11463","67981","86248","103848","25665","57210","25283","81440","100366","115792","41821","57.72","68.805","54.504","53.783","52.719","61.97"
"33105029070000","1068.861","869.49","1073.374","1082.755","","845.75","40865","9892","58059","69772","","25517","55663","21923","73762","87207","","37595","57.665","68.908","55.956","55.553","","59.569"
"33053033310000","1594.645","1452.068","1613.48","1545.016","1473.937","1562.555","78583","19997","117541","154933","184632","48573","9359","2344","15439","19993","23646","6159","10.642","10.492","11.61","11.429","11.353","11.253"
"33105021210000","1570.269","1074.788","1588.91","1620.354","1706.537","1446.331","57166","19883","76791","92062","103727","41104","42389","15876","57945","72312","86130","30801","42.578","44.397","43.006","43.992","45.366","42.836"
